spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,4,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,1,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,2,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,3,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,4,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,5,Upstream,Body,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,6,Upstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,7,Downstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,8,Downstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,9,Downstream,Body,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,10,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,11,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,12,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,13,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,14,Unknown,Head,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,15,Unknown,Head,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,16,Unknown,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,1,Upstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,2,Upstream,Body,2,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,3,Upstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,4,Upstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,5,Downstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,6,Downstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,7,Downstream,Body,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_C,8,Unknown,Head,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,1,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,2,Upstream,Tail,3,t5,NA,Megan,,,,,,,,,,
